fact_id,variant_id,layer,is_correct,n_active_features,feature_l1_norm,feature_l2_norm,max_feature_value,top_feature_indices,top_feature_values
fact_0057,answer_briefly,12,True,53,339.0536193847656,56.22047805786133,23.416522979736328,1371 2620 6810 2291 1710 7493 13079 2009 8741 7390 3159 304 8306 337 8322 13726 11454 15868 11306 13860,23.416523 21.306217 16.616947 16.004072 14.277226 10.766509 9.257927 8.439300 8.348173 7.631491 7.505765 7.451767 7.345832 6.936772 6.672053 6.210370 6.170265 6.045935 5.937701 5.877438
fact_0057,no_explanation,6,True,26,161.46755981445312,45.72413635253906,28.591691970825195,7002 6201 15079 13073 13460 5275 2270 12254 11375 14336 9119 2490 10458 1864 9815 547 4550 14412 13860 13583,28.591692 23.020782 15.854746 9.044416 8.868099 8.218524 7.749359 5.199638 4.194328 4.147212 4.090821 4.031474 3.854414 3.335889 3.096314 3.017263 3.002610 2.938603 2.858214 2.723486
fact_0057,no_explanation,9,True,28,180.33517456054688,44.049720764160156,28.72537612915039,964 1060 54 7919 1435 4837 7782 16107 3624 2486 15907 2595 12490 10060 13996 5360 12707 10387 1157 11549,28.725376 13.476051 11.582266 11.256706 10.858074 10.491580 7.801977 6.267188 6.169306 6.087403 6.000253 5.558081 4.609788 4.597589 4.241949 4.180622 3.576466 3.574710 3.564595 3.545600
fact_0057,no_explanation,12,True,44,287.03369140625,53.95299530029297,25.060604095458984,1371 2620 2291 1710 2009 8547 1925 13026 304 337 11306 6967 7507 8306 248 11062 2801 6810 8322 13079,25.060604 23.291893 18.290419 12.435125 12.018723 10.569729 9.861891 7.812053 7.705105 7.394598 6.758570 6.459854 6.295264 6.050318 5.937469 5.769012 5.619061 5.362000 5.067465 5.055484
fact_0057,direct_answer,6,False,56,274.9104309082031,47.87805938720703,22.731172561645508,6201 15205 4793 13073 7002 15079 13460 6743 6648 7627 5091 7961 8821 13366 7221 14336 9173 10924 16217 6553,22.731173 18.181858 13.745846 11.994022 10.637680 10.368793 10.101155 8.352455 8.163282 7.778141 7.678674 6.488384 5.990165 5.814560 5.216578 5.179481 5.057686 4.889460 4.651972 4.547079
fact_0057,direct_answer,9,False,49,265.4197998046875,44.830413818359375,21.26067352294922,2569 1060 54 785 7124 964 3118 4837 7149 2290 8201 5344 16320 10185 2098 9982 2310 2678 8911 6016,21.260674 15.356798 11.687506 11.342320 9.748577 8.647542 7.048246 7.015040 6.837846 6.316168 6.056652 5.960476 5.801203 5.754072 5.744987 5.614886 5.530633 5.460298 5.115327 4.981384
fact_0057,direct_answer,12,False,60,405.0704650878906,66.96094512939453,29.45431137084961,2291 1041 6668 2620 7283 14735 7507 6272 9112 2773 3797 4113 11306 7805 15143 6565 6475 11454 7517 4246,29.454311 24.798813 22.822981 19.991642 15.069296 12.677787 11.000995 10.273519 9.968453 8.910587 8.826760 8.749398 8.556141 8.448217 7.299661 7.030478 7.025720 6.816974 6.559656 6.430295
fact_0059,short_direct,6,True,45,263.66168212890625,58.91879653930664,37.46006774902344,6201 4793 13073 5091 7002 13460 6743 1864 7627 14783 12939 14336 104 7221 9342 6035 13328 13080 11353 10928,37.460068 24.660450 16.417799 14.068671 11.412930 11.266426 9.657667 8.630636 8.284152 8.085938 7.173233 7.022948 5.704606 5.369124 4.368974 4.294549 4.290751 4.100708 4.027360 3.926246
fact_0059,short_direct,9,True,29,200.7023162841797,47.4208984375,20.62933349609375,785 1060 16320 12102 54 3506 964 4837 2678 2290 13785 11423 8490 15635 6016 9712 10923 16107 5204 1792,20.629333 16.285311 16.264225 14.984905 14.353604 14.124665 14.073455 12.140643 7.161448 6.442893 4.586953 4.400600 4.303906 4.226472 4.159735 3.524374 3.509241 3.482601 3.437895 3.251656
fact_0059,short_direct,12,True,49,354.3115234375,66.52196502685547,30.8295841217041,7283 2291 2620 1041 4113 11306 456 6272 3797 4246 1309 7805 6118 13594 5603 3439 5423 11244 13195 11646,30.829584 28.348154 22.877815 19.201447 15.325287 14.473108 11.624987 11.061103 9.815816 8.032080 7.557285 7.273992 7.108807 7.001985 6.861500 5.912863 5.782557 5.768159 5.721770 5.600017
fact_0059,direct_answer,6,False,44,243.15396118164062,55.410560607910156,36.319522857666016,6201 4793 13073 5091 7002 13460 6743 14783 14336 6035 1864 7627 104 10458 12939 13080 13853 7221 9342 10928,36.319523 23.267355 14.273746 12.979104 12.292696 10.534156 8.455690 7.682178 6.729530 6.490567 5.837537 5.741509 5.696057 4.461864 4.450726 4.042999 4.019893 3.580638 3.410869 3.315510
fact_0059,direct_answer,9,False,22,178.45541381835938,46.55427169799805,20.13785171508789,12102 785 16320 1060 964 54 3506 4837 2290 2678 5204 6016 8490 8911 15635 3819 10923 5074 2425 11081,20.137852 18.171598 17.185890 15.064308 14.830882 13.892675 11.738040 8.682694 8.222326 7.413578 4.916484 4.405850 4.244435 4.165936 3.799507 3.494046 3.286562 3.263546 3.185807 3.030126
fact_0059,direct_answer,12,False,61,398.8806457519531,69.49665832519531,31.453521728515625,1041 2291 7283 2620 4113 3797 11306 6272 6565 7493 11454 4246 304 7805 986 15143 5423 8306 6475 3409,31.453522 29.240421 27.394266 22.248001 13.864250 10.975726 10.880861 10.762553 8.233018 7.975925 7.135994 6.997144 6.769821 6.538735 6.400461 6.345219 5.997332 5.783291 5.654241 5.576869
