fact_id,layer,cosine_distance_correct_correct,cosine_distance_correct_wrong,cosine_distance_wrong_wrong,l2_distance_correct_correct,l2_distance_correct_wrong,l2_distance_wrong_wrong,cosine_delta_cw_minus_cc,l2_delta_cw_minus_cc,cosine_delta_cw_minus_ww,l2_delta_cw_minus_ww
fact_0002,6,0.23891813556353247,0.400161862373352,,52.5728284517924,79.25352668762207,,0.16124372680981952,26.680698235829674,,
fact_0002,9,0.23617313305536902,0.3682428747415542,,74.34140268961589,107.12056159973145,,0.13206974168618518,32.779158910115555,,
fact_0002,12,0.249382605155309,0.47092777490615845,,118.91333452860515,180.75945663452148,,0.22154516975084945,61.846122105916336,,
fact_0014,6,0.32914100090662635,0.27314279476801556,0.4922945499420166,67.98230679829915,57.994494120279946,92.8704071044922,-0.055998206138610784,-9.987812678019203,-0.21915175517400104,-34.875912984212256
fact_0014,9,0.31348544359207153,0.25666291515032447,0.446865975856781,89.36317316691081,78.41063006718953,124.36166381835938,-0.05682252844174707,-10.952543099721282,-0.19020306070645654,-45.951033751169845
fact_0014,12,0.3269330660502116,0.3087130437294642,0.5551789700984955,137.32013066609701,125.74238808949788,201.45860290527344,-0.01822002232074743,-11.577742576599135,-0.2464659263690313,-75.71621481577556
fact_0017,6,0.33601399262746173,0.403778076171875,,60.504782358805336,71.35405604044597,,0.06776408354441327,10.849273681640632,,
fact_0017,9,0.2783036629358927,0.3438507517178853,,77.16578610738118,96.20800526936848,,0.06554708878199261,19.042219161987305,,
fact_0017,12,0.29119533300399775,0.4154369533061981,,118.57557805379231,145.99271392822266,,0.12424162030220037,27.417135874430343,,
fact_0021,6,0.0186175505320231,0.47704312205314636,0.1577323675155639,19.07671006520589,90.5529073079427,44.84503936767578,0.4584255715211233,71.47619724273682,0.31931075453758245,45.70786794026692
fact_0021,9,0.014357109864552735,0.4552413324515024,0.1718536615371704,21.749830563863117,120.10267130533855,68.58869934082031,0.44088422258694965,98.35284074147543,0.283387670914332,51.513971964518234
fact_0021,12,0.0140890876452128,0.510591447353363,0.2425228357315063,34.135307947794594,192.33690388997397,113.06040954589844,0.49650235970815026,158.20159594217938,0.26806861162185674,79.27649434407553
fact_0034,6,0.3930611213048299,0.340423842271169,,72.4838269551595,61.92294947306315,,-0.05263727903366089,-10.560877482096352,,
fact_0034,9,0.39891205231348675,0.3459218939145406,,105.04754892985027,88.13880284627278,,-0.05299015839894616,-16.908746083577483,,
fact_0034,12,0.43787699937820435,0.3805461525917053,,158.03863779703775,130.2383575439453,,-0.05733084678649902,-27.80028025309244,,
fact_0041,6,0.4786712527275085,0.2687917749087015,0.3113070726394653,86.00767517089844,56.08263365427653,61.083993911743164,-0.209879477818807,-29.92504151662191,-0.04251529773076379,-5.0013602574666365
fact_0041,9,0.4418084621429443,0.2527149717013041,0.30399324496587116,116.20050048828124,77.68232504526775,85.88721911112468,-0.1890934904416402,-38.51817544301349,-0.051278273264567076,-8.204894065856934
fact_0041,12,0.550843745470047,0.3094264864921569,0.3268070618311564,200.39080810546875,128.47199694315592,132.9085782368978,-0.24141725897789007,-71.91881116231283,-0.01738057533899945,-4.436581293741881
fact_0043,6,0.24342410763104752,0.39564903080463404,,51.49924691518148,77.34980869293213,,0.15222492317358652,25.85056177775065,,
fact_0043,9,0.23194627960522962,0.37357546389102936,,71.87637392679851,112.16415977478027,,0.14162918428579974,40.287785847981766,,
fact_0043,12,0.24652749300003052,0.4630950763821602,,110.63797664642334,178.93023109436035,,0.21656758338212967,68.29225444793701,,
fact_0049,6,0.25628261764844257,0.3996570557355881,,55.88112529118856,83.21968364715576,,0.1433744380871455,27.3385583559672,,
fact_0049,9,0.22187117735544837,0.38072381913661957,,71.87094656626384,113.27278137207031,,0.1588526417811712,41.40183480580647,,
fact_0049,12,0.28228144844373065,0.4236586391925812,,120.1078068415324,175.87447357177734,,0.14137719074885052,55.76666673024495,,
fact_0051,6,0.3301530182361602,0.2300336956977844,,65.90238730112712,47.99462628364563,,-0.10011932253837583,-17.90776101748149,,
fact_0051,9,0.29400439063707984,0.20225568115711207,,86.2484130859375,60.50401782989502,,-0.09174870947996777,-25.74439525604248,,
fact_0051,12,0.3602452278137207,0.2422084733843803,,152.15530904134116,106.41874814033508,,-0.11803675442934039,-45.73656090100607,,
fact_0053,6,0.3427826762199402,0.24409234523773188,,72.31206305821736,55.55707240104675,,-0.09869033098220831,-16.75499065717061,,
fact_0053,9,0.34074974060058594,0.238658532500267,,102.05792617797852,75.19861841201782,,-0.10209120810031894,-26.859307765960693,,
fact_0053,12,0.39058728516101837,0.26637621223926544,,155.56390762329102,118.32198810577394,,-0.12421107292175293,-37.241919517517076,,
fact_0057,6,0.010172684987386034,0.571478416522344,0.1399651169776916,13.322678883870443,96.01252365112305,43.62104415893555,0.561305731534958,82.68984476725261,0.4315132995446524,52.3914794921875
fact_0057,9,0.007921159267425466,0.5477785617113113,0.1542770266532898,14.451196988423666,121.20577621459961,64.47583770751953,0.5398574024438859,106.75457922617595,0.39350153505802155,56.72993850708008
fact_0057,12,0.0084051688512166,0.5965915868679682,0.2480832934379577,22.114923159281414,183.78270975748697,114.319580078125,0.5881864180167516,161.66778659820557,0.3485082934300105,69.46312967936197
