layer,n_facts,mean_cosine_delta_cw_minus_cc,median_cosine_delta_cw_minus_cc,fraction_positive_cosine_delta,mean_l2_delta_cw_minus_cc,median_l2_delta_cw_minus_cc,fraction_positive_l2_delta
6,11,0.09336489619630757,0.06776408354441327,0.5454545454545454,14.52260460998073,10.849273681640632,0.5454545454545454
9,11,0.0896449260639422,0.06554708878199261,0.5454545454545454,19.96684100411155,19.042219161987305,0.5454545454545454
12,11,0.11174585331570018,0.12424162030220037,0.5454545454545454,30.810567935307823,27.417135874430343,0.5454545454545454
