fact_id,layer,variant_a,variant_b,is_correct_a,is_correct_b,pair_type,sae_cosine_distance,sae_l2_distance,active_jaccard_distance
fact_0024,6,original,direct_answer,True,False,correct_wrong,0.033552587032318115,13.968461990356445,0.43103448275862066
fact_0024,9,original,direct_answer,True,False,correct_wrong,0.0538402795791626,15.907869338989258,0.40625
fact_0024,12,original,direct_answer,True,False,correct_wrong,0.08098143339157104,27.60759735107422,0.5
fact_0028,6,answer_briefly,direct_answer,True,False,correct_wrong,0.45312780141830444,48.74110412597656,0.8513513513513513
fact_0028,9,answer_briefly,direct_answer,True,False,correct_wrong,0.5959439277648926,50.07769775390625,0.8666666666666667
fact_0028,12,answer_briefly,direct_answer,True,False,correct_wrong,0.5793642401695251,68.05030059814453,0.8333333333333334
fact_0029,6,short_direct,direct_answer,False,True,correct_wrong,0.03186655044555664,13.881577491760254,0.4
fact_0029,9,short_direct,direct_answer,False,True,correct_wrong,0.09718859195709229,22.2342586517334,0.6153846153846154
fact_0029,12,short_direct,direct_answer,False,True,correct_wrong,0.1351224184036255,32.74150466918945,0.611764705882353
fact_0041,6,short_direct,direct_answer,False,True,correct_wrong,0.037443459033966064,14.653518676757812,0.4482758620689655
fact_0041,9,short_direct,direct_answer,False,True,correct_wrong,0.06900745630264282,16.562257766723633,0.4482758620689655
fact_0041,12,short_direct,direct_answer,False,True,correct_wrong,0.13680964708328247,34.812400817871094,0.5945945945945945
fact_0049,6,short_direct,direct_answer,False,True,correct_wrong,0.024899184703826904,13.69443130493164,0.4035087719298246
fact_0049,9,short_direct,direct_answer,False,True,correct_wrong,0.06828254461288452,18.34947967529297,0.45945945945945943
fact_0049,12,short_direct,direct_answer,False,True,correct_wrong,0.07988274097442627,32.63661193847656,0.4897959183673469
fact_0051,6,original,short_direct,False,False,wrong_wrong,0.012875258922576904,8.796008110046387,0.19999999999999996
fact_0051,6,original,direct_answer,False,True,correct_wrong,0.032173752784729004,13.933126449584961,0.36363636363636365
fact_0051,6,short_direct,direct_answer,False,True,correct_wrong,0.03289055824279785,13.723063468933105,0.36923076923076925
fact_0051,9,original,short_direct,False,False,wrong_wrong,0.013502657413482666,7.227502822875977,0.16000000000000003
fact_0051,9,original,direct_answer,False,True,correct_wrong,0.03635793924331665,11.707051277160645,0.31999999999999995
fact_0051,9,short_direct,direct_answer,False,True,correct_wrong,0.05339658260345459,14.217639923095703,0.4285714285714286
fact_0051,12,original,short_direct,False,False,wrong_wrong,0.0166090726852417,12.290417671203613,0.1311475409836066
fact_0051,12,original,direct_answer,False,True,correct_wrong,0.06819504499435425,24.478031158447266,0.42028985507246375
fact_0051,12,short_direct,direct_answer,False,True,correct_wrong,0.09081494808197021,27.496601104736328,0.4794520547945206
fact_0057,6,answer_briefly,no_explanation,True,True,correct_correct,0.06847923994064331,18.180002212524414,0.6458333333333333
fact_0057,6,answer_briefly,direct_answer,True,False,correct_wrong,0.4698258638381958,47.444549560546875,0.8953488372093024
fact_0057,6,no_explanation,direct_answer,True,False,correct_wrong,0.43101829290390015,43.49476623535156,0.8767123287671232
fact_0057,9,answer_briefly,no_explanation,True,True,correct_correct,0.10225224494934082,19.80113983154297,0.43243243243243246
fact_0057,9,answer_briefly,direct_answer,True,False,correct_wrong,0.6520480811595917,50.44147491455078,0.9178082191780822
fact_0057,9,no_explanation,direct_answer,True,False,correct_wrong,0.6460795402526855,50.5205192565918,0.9154929577464789
fact_0057,12,answer_briefly,no_explanation,True,True,correct_correct,0.23118382692337036,37.51831817626953,0.6527777777777778
fact_0057,12,answer_briefly,direct_answer,True,False,correct_wrong,0.6767420172691345,72.18484497070312,0.9029126213592233
fact_0057,12,no_explanation,direct_answer,True,False,correct_wrong,0.6682404577732086,70.69348907470703,0.9387755102040817
fact_0059,6,short_direct,direct_answer,True,False,correct_wrong,0.021544575691223145,12.368538856506348,0.3207547169811321
fact_0059,9,short_direct,direct_answer,True,False,correct_wrong,0.05890476703643799,16.150299072265625,0.5428571428571429
fact_0059,12,short_direct,direct_answer,True,False,correct_wrong,0.12566953897476196,34.21699905395508,0.5897435897435898
