layer,n_facts,mean_cosine_delta_cw_minus_cc,median_cosine_delta_cw_minus_cc,fraction_positive_cosine_delta,mean_l2_delta_cw_minus_cc,median_l2_delta_cw_minus_cc,fraction_positive_l2_delta
6,7,0.10854839143298924,0.1208995978037517,0.7142857142857143,13.259146872020903,17.08682187398275,0.7142857142857143
9,7,0.10186105044115158,0.1258860379457474,0.7142857142857143,15.67833205631801,23.323164304097496,0.7142857142857143
12,7,0.0938033617678143,0.12003888189792636,0.7142857142857143,20.516750199454172,30.257058143615723,0.7142857142857143
