layer,direction,rank,feature_index,mean_diff_correct_minus_wrong,correct_mean_activation,wrong_mean_activation,correct_activation_frequency,wrong_activation_frequency,frequency_diff_correct_minus_wrong
6,more_active_in_correct,1,4793,7.947113037109375,19.313915252685547,11.366802215576172,0.800000011920929,0.4675324559211731,0.33246755599975586
6,more_active_in_correct,2,6201,4.576807022094727,30.989389419555664,26.412582397460938,1.0,1.0,0.0
6,more_active_in_correct,3,5091,4.2962260246276855,10.779484748840332,6.4832587242126465,0.800000011920929,0.4675324559211731,0.33246755599975586
6,more_active_in_correct,4,6035,2.830095052719116,5.250402927398682,2.4203078746795654,0.800000011920929,0.4675324559211731,0.33246755599975586
6,more_active_in_correct,5,13328,1.9353771209716797,4.66507625579834,2.72969913482666,0.800000011920929,0.4675324559211731,0.33246755599975586
6,more_active_in_correct,6,14783,1.513808012008667,3.108607053756714,1.5947990417480469,0.6857143044471741,0.33766233921051025,0.3480519652366638
6,more_active_in_correct,7,9812,1.462145209312439,2.3542609214782715,0.8921157121658325,0.6857143044471741,0.27272728085517883,0.41298702359199524
6,more_active_in_correct,8,6743,1.433960199356079,3.5719261169433594,2.1379659175872803,0.6000000238418579,0.3246753215789795,0.2753247022628784
6,more_active_in_correct,9,13073,1.3905096054077148,12.654627799987793,11.264118194580078,1.0,1.0,0.0
6,more_active_in_correct,10,11173,1.2263504266738892,2.2938334941864014,1.0674830675125122,0.6285714507102966,0.31168830394744873,0.3168831467628479
6,more_active_in_correct,11,10384,1.0457005500793457,2.0522396564483643,1.0065391063690186,0.7714285850524902,0.3896103799343109,0.3818182051181793
6,more_active_in_correct,12,14336,1.0404181480407715,6.303478717803955,5.263060569763184,1.0,1.0,0.0
6,more_active_in_correct,13,9342,0.9954153299331665,2.750049591064453,1.7546342611312866,0.5714285969734192,0.31168830394744873,0.25974029302597046
6,more_active_in_correct,14,3835,0.9773157238960266,1.0450026988983154,0.06768696755170822,0.4000000059604645,0.025974025949835777,0.37402597069740295
6,more_active_in_correct,15,13853,0.9750761389732361,1.8915326595306396,0.9164565205574036,0.48571428656578064,0.22077922523021698,0.26493507623672485
6,more_active_in_correct,16,2230,0.9493352174758911,2.0618064403533936,1.1124712228775024,0.7428571581840515,0.4025973975658417,0.34025976061820984
6,more_active_in_correct,17,9840,0.9330058097839355,1.4345391988754272,0.5015333890914917,0.48571428656578064,0.1818181872367859,0.30389609932899475
6,more_active_in_correct,18,16250,0.9135783910751343,1.2712029218673706,0.35762450098991394,0.4571428596973419,0.1428571492433548,0.3142856955528259
6,more_active_in_correct,19,14849,0.8838046789169312,2.348632335662842,1.4648276567459106,0.800000011920929,0.4935064911842346,0.30649352073669434
6,more_active_in_correct,20,7627,0.8776533603668213,2.7793891429901123,1.901735782623291,0.6285714507102966,0.3636363744735718,0.26493507623672485
6,more_active_in_correct,21,10861,0.8440073728561401,0.9157994985580444,0.0717921108007431,0.4000000059604645,0.025974025949835777,0.37402597069740295
6,more_active_in_correct,22,436,0.7566889524459839,1.037783145904541,0.28109419345855713,0.4000000059604645,0.11688311398029327,0.28311687707901
6,more_active_in_correct,23,10928,0.7384066581726074,1.7560793161392212,1.0176726579666138,0.6000000238418579,0.3246753215789795,0.2753247022628784
6,more_active_in_correct,24,14058,0.7260693311691284,0.8365641236305237,0.11049481481313705,0.17142857611179352,0.025974025949835777,0.1454545557498932
6,more_active_in_correct,25,12361,0.7158539891242981,1.3295329809188843,0.6136789917945862,0.5142857432365417,0.2467532455921173,0.26753249764442444
6,more_active_in_correct,26,13120,0.664384126663208,1.0676132440567017,0.40322911739349365,0.37142857909202576,0.15584415197372437,0.2155844271183014
6,more_active_in_correct,27,14825,0.6287486553192139,0.7122837901115417,0.0835351049900055,0.2857142984867096,0.025974025949835777,0.25974026322364807
6,more_active_in_correct,28,9171,0.6211710572242737,1.0431772470474243,0.42200618982315063,0.4285714328289032,0.1818181872367859,0.2467532455921173
6,more_active_in_correct,29,11923,0.5980761051177979,0.6681778430938721,0.07010175287723541,0.2571428716182709,0.025974025949835777,0.23116885125637054
6,more_active_in_correct,30,7221,0.5802651643753052,1.9562312364578247,1.3759660720825195,0.5428571701049805,0.3246753215789795,0.21818184852600098
6,more_active_in_correct,31,3610,0.5730111598968506,0.757250964641571,0.18423977494239807,0.20000000298023224,0.051948051899671555,0.14805194735527039
6,more_active_in_correct,32,15672,0.5335398316383362,1.0658040046691895,0.5322641730308533,0.4571428596973419,0.22077922523021698,0.23636363446712494
6,more_active_in_correct,33,1864,0.5308146476745605,5.903827667236328,5.373013019561768,1.0,1.0,0.0
6,more_active_in_correct,34,10458,0.5294549465179443,4.189946174621582,3.6604912281036377,1.0,1.0,0.0
6,more_active_in_correct,35,3956,0.5246573686599731,1.4274226427078247,0.9027652740478516,0.4571428596973419,0.29870128631591797,0.15844157338142395
6,more_active_in_correct,36,11929,0.5234712362289429,1.9172967672348022,1.3938255310058594,0.6000000238418579,0.3896103799343109,0.210389643907547
6,more_active_in_correct,37,13080,0.4365783929824829,1.461721420288086,1.025143027305603,0.5428571701049805,0.3636363744735718,0.1792207956314087
6,more_active_in_correct,38,13941,0.4215092658996582,0.5846722722053528,0.16316300630569458,0.22857142984867096,0.06493506580591202,0.16363635659217834
6,more_active_in_correct,39,14747,0.4138110876083374,0.8966989517211914,0.482887864112854,0.34285715222358704,0.1428571492433548,0.20000000298023224
