fact_id,layer,cosine_distance_correct_correct,cosine_distance_correct_wrong,cosine_distance_wrong_wrong,l2_distance_correct_correct,l2_distance_correct_wrong,l2_distance_wrong_wrong,cosine_delta_cw_minus_cc,l2_delta_cw_minus_cc,cosine_delta_cw_minus_ww,l2_delta_cw_minus_ww
fact_0007,6,0.0410356521606445,0.2827903429667155,0.3216838240623474,25.734045028686523,55.317286809285484,62.46685791015625,0.241754690806071,29.58324178059896,-0.0388934810956319,-7.149571100870766
fact_0007,9,0.0409614443778991,0.2431727548440297,0.2822563846906026,31.947139739990234,65.64594014485677,74.34047571818034,0.2022113104661306,33.69880040486653,-0.039083629846572904,-8.694535573323577
fact_0007,12,0.0462094545364379,0.24700229366620377,0.29174625873565674,48.693119049072266,94.72507667541504,108.63655090332031,0.20079283912976587,46.03195762634277,-0.04474396506945297,-13.911474227905273
fact_0008,6,0.22493465741475416,0.34583425521850586,,45.465286572774254,61.299662590026855,,0.1208995978037517,15.834376017252602,,
fact_0008,9,0.22166339556376138,0.3351012915372848,,60.72339884440104,79.85675239562988,,0.11343789597352341,19.133353551228844,,
fact_0008,12,0.19220079978307084,0.2973673939704895,,77.77587572733562,102.09019088745117,,0.10516659418741867,24.314315160115555,,
fact_0013,6,0.0511043667793273,0.2915582160154978,0.3226651151974996,26.035688400268555,53.04154888788859,58.687432607014976,0.2404538492361705,27.005860487620033,-0.031106899182001768,-5.645883719126388
fact_0013,9,0.0588658452033996,0.2663390537103017,0.2956395546595255,36.29708480834961,65.90246486663818,71.2110201517741,0.2074732085069021,29.605380058288574,-0.029300500949223818,-5.30855528513591
fact_0013,12,0.0833009481430053,0.24929109215736386,0.2908579111099243,61.56281661987305,92.59356307983398,101.79567972819011,0.16599014401435858,31.030746459960938,-0.04156681895256045,-9.202116648356125
fact_0024,6,0.4351325631141662,0.24958133697509763,0.4181081056594848,73.52930450439453,49.753023624420166,69.10595703125,-0.18555122613906858,-23.776280879974365,-0.16852676868438718,-19.352933406829834
fact_0024,9,0.3391700387001037,0.21219022572040552,0.3618206977844238,86.18299865722656,60.887145042419434,84.04862976074219,-0.12697981297969818,-25.29585361480713,-0.14963047206401825,-23.161484718322754
fact_0024,12,0.301134705543518,0.18894624710083005,0.2700371146202087,110.27632904052734,82.47875690460205,103.91999816894533,-0.11218845844268796,-27.797572135925293,-0.08109086751937863,-21.441241264343276
fact_0034,6,0.4248114824295044,0.26052697002887726,0.4324461221694946,66.99873352050781,48.39507865905762,67.25109100341797,-0.16428451240062714,-18.603654861450195,-0.17191915214061732,-18.85601234436035
fact_0034,9,0.3634284734725952,0.22999465465545654,0.3582431674003601,81.76832580566406,62.65256690979004,86.91064453125,-0.13343381881713867,-19.115758895874023,-0.12824851274490356,-24.25807762145996
fact_0034,12,0.310982346534729,0.2253266125917434,0.3465662002563476,108.15318298339844,88.18604755401611,114.50411224365234,-0.08565573394298559,-19.967135429382324,-0.12123958766460419,-26.31806468963623
fact_0053,6,0.2289717594782511,0.34332327544689173,,47.19023482004801,64.27705669403076,,0.11435151596864063,17.08682187398275,,
fact_0053,9,0.2241321802139282,0.3500182181596756,,60.69050089518229,84.01366519927979,,0.1258860379457474,23.323164304097496,,
fact_0053,12,0.2077098190784454,0.32774870097637177,,82.92159938812256,113.17865753173828,,0.12003888189792636,30.257058143615723,,
fact_0057,6,0.1137893199920654,0.506004144748052,0.0145619908968607,35.081790924072266,80.7654546101888,14.269003550211588,0.39221482475598657,45.68366368611653,0.4914421538511913,66.4964510599772
fact_0057,9,0.1132798790931701,0.4377124110857646,0.023292203744252466,41.982852935791016,90.3820915222168,21.844324747721355,0.3244325319925945,48.39923858642578,0.41442020734151214,68.53776677449544
fact_0057,12,0.1472336053848266,0.4097128709157308,0.03404347101847327,65.78878784179688,125.5366694132487,37.95729001363119,0.26247926553090417,59.74788157145183,0.3756693998972575,87.57937939961752
