fact_id,layer,correct_variant,wrong_variant,cosine_distance,l2_distance
fact_0002,6,original,no_explanation,0.48208189010620117,91.0873794555664
fact_0002,6,short_direct,no_explanation,0.4819958209991455,91.1803207397461
fact_0002,6,answer_briefly,no_explanation,0.15683400630950928,44.619911193847656
fact_0002,6,direct_answer,no_explanation,0.47973573207855225,90.12649536132812
fact_0002,9,original,no_explanation,0.43426257371902466,121.51872253417969
fact_0002,9,short_direct,no_explanation,0.43143129348754883,115.9501953125
fact_0002,9,answer_briefly,no_explanation,0.1678091287612915,68.76908111572266
fact_0002,9,direct_answer,no_explanation,0.43946850299835205,122.24424743652344
fact_0002,12,original,no_explanation,0.5495384633541107,203.31564331054688
fact_0002,12,short_direct,no_explanation,0.5445904731750488,201.47161865234375
fact_0002,12,answer_briefly,no_explanation,0.24123626947402954,113.08892822265625
fact_0002,12,direct_answer,no_explanation,0.5483458936214447,205.16163635253906
fact_0014,6,short_direct,original,0.005108833312988281,10.388311386108398
fact_0014,6,short_direct,no_explanation,0.4957374334335327,93.18220520019531
fact_0014,6,answer_briefly,original,0.4817497730255127,92.07051086425781
fact_0014,6,answer_briefly,no_explanation,0.15468716621398926,44.75027084350586
fact_0014,6,direct_answer,original,0.0133897066116333,16.808088302612305
fact_0014,6,direct_answer,no_explanation,0.488183856010437,90.767578125
fact_0014,9,short_direct,original,0.002907395362854004,10.730841636657715
fact_0014,9,short_direct,no_explanation,0.44651246070861816,123.0573959350586
fact_0014,9,answer_briefly,original,0.4643312692642212,123.83245849609375
fact_0014,9,answer_briefly,no_explanation,0.16902244091033936,69.31245422363281
fact_0014,9,direct_answer,original,0.012598991394042969,22.180334091186523
fact_0014,9,direct_answer,no_explanation,0.44460493326187134,121.35029602050781
fact_0014,12,short_direct,original,0.003526151180267334,17.854890823364258
fact_0014,12,short_direct,no_explanation,0.5580836236476898,199.6621551513672
fact_0014,12,answer_briefly,original,0.48440104722976685,187.4808807373047
fact_0014,12,answer_briefly,no_explanation,0.23872578144073486,112.23551940917969
fact_0014,12,direct_answer,original,0.01331418752670288,34.56142807006836
fact_0014,12,direct_answer,no_explanation,0.5542274713516235,202.65945434570312
fact_0017,6,original,no_explanation,0.520238995552063,84.46178436279297
fact_0017,6,answer_briefly,no_explanation,0.17205142974853516,46.15266799926758
fact_0017,6,direct_answer,no_explanation,0.5190438032150269,83.44771575927734
fact_0017,9,original,no_explanation,0.4412134885787964,111.07212829589844
fact_0017,9,answer_briefly,no_explanation,0.16435295343399048,69.43070983886719
fact_0017,9,direct_answer,no_explanation,0.42598581314086914,108.12117767333984
fact_0017,12,original,no_explanation,0.5305674374103546,165.5865020751953
fact_0017,12,answer_briefly,no_explanation,0.23341816663742065,107.45352935791016
fact_0017,12,direct_answer,no_explanation,0.4823252558708191,164.9381103515625
fact_0021,6,original,answer_briefly,0.4672694206237793,90.7193603515625
fact_0021,6,original,no_explanation,0.48544901609420776,92.06473541259766
fact_0021,6,short_direct,answer_briefly,0.47516000270843506,91.15838623046875
fact_0021,6,short_direct,no_explanation,0.4910236597061157,92.27586364746094
fact_0021,6,direct_answer,answer_briefly,0.4634891748428345,87.97447967529297
fact_0021,6,direct_answer,no_explanation,0.47986745834350586,89.12461853027344
fact_0021,9,original,answer_briefly,0.45859622955322266,119.72706604003906
fact_0021,9,original,no_explanation,0.45406800508499146,120.72135925292969
fact_0021,9,short_direct,answer_briefly,0.45471489429473877,118.89894104003906
fact_0021,9,short_direct,no_explanation,0.44987916946411133,119.85472869873047
fact_0021,9,direct_answer,answer_briefly,0.46023648977279663,120.3313980102539
fact_0021,9,direct_answer,no_explanation,0.45395320653915405,121.08253479003906
fact_0021,12,original,answer_briefly,0.471759557723999,184.3117218017578
fact_0021,12,original,no_explanation,0.5545826852321625,199.7054901123047
fact_0021,12,short_direct,answer_briefly,0.4680060148239136,182.1002960205078
fact_0021,12,short_direct,no_explanation,0.5519250333309174,197.70193481445312
fact_0021,12,direct_answer,answer_briefly,0.4663729667663574,187.20098876953125
fact_0021,12,direct_answer,no_explanation,0.5509024262428284,203.00099182128906
fact_0029,6,short_direct,original,0.007237672805786133,12.246739387512207
fact_0029,6,short_direct,answer_briefly,0.474149227142334,90.949951171875
fact_0029,6,short_direct,no_explanation,0.47378265857696533,90.03130340576172
fact_0029,6,short_direct,direct_answer,0.016823172569274902,18.632963180541992
fact_0029,9,short_direct,original,0.019356906414031982,27.302488327026367
fact_0029,9,short_direct,answer_briefly,0.4575388431549072,118.11201477050781
fact_0029,9,short_direct,no_explanation,0.4368627071380615,117.07180786132812
fact_0029,9,short_direct,direct_answer,0.029965877532958984,32.873199462890625
fact_0029,12,short_direct,original,0.03292196989059448,47.538414001464844
fact_0029,12,short_direct,answer_briefly,0.513979434967041,175.14312744140625
fact_0029,12,short_direct,no_explanation,0.5752692520618439,186.9329833984375
fact_0029,12,short_direct,direct_answer,0.044944047927856445,58.721343994140625
fact_0034,6,answer_briefly,original,0.5057860612869263,85.93506622314453
fact_0034,6,no_explanation,original,0.5012160539627075,84.83938598632812
fact_0034,6,direct_answer,original,0.014269411563873291,14.994396209716797
fact_0034,9,answer_briefly,original,0.5070172548294067,121.98807525634766
fact_0034,9,no_explanation,original,0.5224111080169678,125.94147491455078
fact_0034,9,direct_answer,original,0.008337318897247314,16.486858367919922
fact_0034,12,answer_briefly,original,0.5346128046512604,169.5181884765625
fact_0034,12,no_explanation,original,0.5850143134593964,181.06512451171875
fact_0034,12,direct_answer,original,0.02201133966445923,40.13175964355469
fact_0041,6,no_explanation,original,0.4764404296875,86.16902923583984
fact_0041,6,no_explanation,short_direct,0.47835832834243774,87.12360382080078
fact_0041,6,no_explanation,answer_briefly,0.16414976119995117,45.667930603027344
fact_0041,6,direct_answer,original,0.010034739971160889,13.423288345336914
fact_0041,6,direct_answer,short_direct,0.020133256912231445,19.20962142944336
fact_0041,6,direct_answer,answer_briefly,0.4636341333389282,84.90232849121094
fact_0041,9,no_explanation,original,0.4358491897583008,118.23089599609375
fact_0041,9,no_explanation,short_direct,0.4292406439781189,119.33773040771484
fact_0041,9,no_explanation,answer_briefly,0.16414541006088257,67.6510238647461
fact_0041,9,direct_answer,original,0.007473945617675781,16.659503936767578
fact_0041,9,direct_answer,short_direct,0.02171802520751953,28.703733444213867
fact_0041,9,direct_answer,answer_briefly,0.45786261558532715,115.51106262207031
fact_0041,12,no_explanation,original,0.5535226166248322,196.819091796875
fact_0041,12,no_explanation,short_direct,0.5492080748081207,199.38174438476562
fact_0041,12,no_explanation,answer_briefly,0.23797011375427246,110.7771224975586
fact_0041,12,direct_answer,original,0.011559247970581055,32.13920593261719
fact_0041,12,direct_answer,short_direct,0.023165404796600342,45.2551155090332
fact_0041,12,direct_answer,answer_briefly,0.48113346099853516,186.45970153808594
fact_0043,6,original,no_explanation,0.47209203243255615,88.49983978271484
fact_0043,6,short_direct,no_explanation,0.47620391845703125,88.177001953125
fact_0043,6,answer_briefly,no_explanation,0.15955448150634766,45.85598373413086
fact_0043,6,direct_answer,no_explanation,0.4747456908226013,86.86640930175781
fact_0043,9,original,no_explanation,0.4414122700691223,127.8921127319336
fact_0043,9,short_direct,no_explanation,0.4441419243812561,127.2492904663086
fact_0043,9,answer_briefly,no_explanation,0.1664981245994568,68.98307800292969
fact_0043,9,direct_answer,no_explanation,0.4422495365142822,124.53215789794922
fact_0043,12,original,no_explanation,0.5396737158298492,202.0567626953125
fact_0043,12,short_direct,no_explanation,0.5417713224887848,200.98428344726562
fact_0043,12,answer_briefly,no_explanation,0.23197883367538452,110.8724136352539
fact_0043,12,direct_answer,no_explanation,0.5389564335346222,201.80746459960938
fact_0049,6,original,answer_briefly,0.47820377349853516,95.4505844116211
fact_0049,6,short_direct,answer_briefly,0.4794995188713074,96.85040283203125
fact_0049,6,no_explanation,answer_briefly,0.15561532974243164,44.38552474975586
fact_0049,6,direct_answer,answer_briefly,0.4853096008300781,96.19222259521484
fact_0049,9,original,answer_briefly,0.4540669918060303,128.91941833496094
fact_0049,9,short_direct,answer_briefly,0.45158517360687256,127.98707580566406
fact_0049,9,no_explanation,answer_briefly,0.15812647342681885,66.73411560058594
fact_0049,9,direct_answer,answer_briefly,0.4591166377067566,129.4505157470703
fact_0049,12,original,answer_briefly,0.486053466796875,196.06112670898438
fact_0049,12,short_direct,answer_briefly,0.48495548963546753,195.20748901367188
fact_0049,12,no_explanation,answer_briefly,0.2370821237564087,111.33912658691406
fact_0049,12,direct_answer,answer_briefly,0.4865434765815735,200.89015197753906
fact_0051,6,short_direct,original,0.005077838897705078,9.597561836242676
fact_0051,6,answer_briefly,original,0.4503610134124756,84.54242706298828
fact_0051,6,no_explanation,original,0.4555530548095703,84.71758270263672
fact_0051,6,direct_answer,original,0.009142875671386719,13.120933532714844
fact_0051,9,short_direct,original,0.0028528571128845215,9.157651901245117
fact_0051,9,answer_briefly,original,0.40330350399017334,107.40930938720703
fact_0051,9,no_explanation,original,0.39212483167648315,107.73191833496094
fact_0051,9,direct_answer,original,0.01074153184890747,17.717191696166992
fact_0051,12,short_direct,original,0.0022072792053222656,14.230040550231934
fact_0051,12,answer_briefly,original,0.446408748626709,184.0107879638672
fact_0051,12,no_explanation,original,0.5097161829471588,195.7852783203125
fact_0051,12,direct_answer,original,0.010501682758331299,31.64888572692871
fact_0053,6,original,direct_answer,0.0078238844871521,13.540116310119629
fact_0053,6,short_direct,direct_answer,0.014714181423187256,18.619722366333008
fact_0053,6,answer_briefly,direct_answer,0.46919167041778564,94.51425170898438
fact_0053,6,no_explanation,direct_answer,0.48463964462280273,95.55419921875
fact_0053,9,original,direct_answer,0.005046188831329346,15.024063110351562
fact_0053,9,short_direct,direct_answer,0.01079636812210083,22.021982192993164
fact_0053,9,answer_briefly,direct_answer,0.47857004404067993,132.56503295898438
fact_0053,9,no_explanation,direct_answer,0.460221529006958,131.1833953857422
fact_0053,12,original,direct_answer,0.005675971508026123,25.101192474365234
fact_0053,12,short_direct,direct_answer,0.01251363754272461,36.179054260253906
fact_0053,12,answer_briefly,direct_answer,0.48923879861831665,199.67349243164062
fact_0053,12,no_explanation,direct_answer,0.5580764412879944,212.33421325683594
fact_0057,6,original,answer_briefly,0.5638704299926758,97.2865219116211
fact_0057,6,original,no_explanation,0.5783688426017761,95.42984771728516
fact_0057,6,short_direct,answer_briefly,0.560272216796875,97.14310455322266
fact_0057,6,short_direct,no_explanation,0.57554692029953,95.38446044921875
fact_0057,6,direct_answer,answer_briefly,0.5685111880302429,96.44368743896484
fact_0057,6,direct_answer,no_explanation,0.5823009014129639,94.38751983642578
fact_0057,9,original,answer_briefly,0.5340088605880737,121.622314453125
fact_0057,9,original,no_explanation,0.5637174248695374,121.50737762451172
fact_0057,9,short_direct,answer_briefly,0.5273824334144592,121.56558990478516
fact_0057,9,short_direct,no_explanation,0.5579109489917755,121.65526580810547
fact_0057,9,direct_answer,answer_briefly,0.53617924451828,120.49638366699219
fact_0057,9,direct_answer,no_explanation,0.5674724578857422,120.38772583007812
fact_0057,12,original,answer_briefly,0.5576837062835693,178.61679077148438
fact_0057,12,original,no_explanation,0.640916496515274,188.68568420410156
fact_0057,12,short_direct,answer_briefly,0.5553777813911438,178.14895629882812
fact_0057,12,short_direct,no_explanation,0.6413770914077759,188.6446075439453
fact_0057,12,direct_answer,answer_briefly,0.5482076406478882,178.78590393066406
fact_0057,12,direct_answer,no_explanation,0.6359868049621582,189.81431579589844
