layer,direction,rank,feature_index,mean_diff_correct_minus_wrong,correct_mean_activation,wrong_mean_activation,correct_activation_frequency,wrong_activation_frequency,frequency_diff_correct_minus_wrong
6,more_active_in_correct,1,7002,5.833890914916992,17.736051559448242,11.90216064453125,1.0,1.0,0.0
6,more_active_in_correct,2,2270,4.193887710571289,4.193887710571289,0.0,0.3333333432674408,0.0,0.3333333432674408
6,more_active_in_correct,3,5275,3.66245436668396,3.66245436668396,0.0,0.3333333432674408,0.0,0.3333333432674408
6,more_active_in_correct,4,15079,3.2285208702087402,9.276518821716309,6.047997951507568,0.8888888955116272,0.8888888955116272,0.0
6,more_active_in_correct,5,12254,2.2428486347198486,2.2428486347198486,0.0,0.3333333432674408,0.0,0.3333333432674408
6,more_active_in_correct,6,11375,1.3119492530822754,1.3119492530822754,0.0,0.3333333432674408,0.0,0.3333333432674408
6,more_active_in_correct,7,2490,1.25941801071167,1.25941801071167,0.0,0.3333333432674408,0.0,0.3333333432674408
6,more_active_in_correct,8,9119,1.1576696634292603,1.1576696634292603,0.0,0.3333333432674408,0.0,0.3333333432674408
6,more_active_in_correct,9,7015,1.0462226867675781,1.0462226867675781,0.0,0.3333333432674408,0.0,0.3333333432674408
6,more_active_in_correct,10,4550,0.9970813989639282,1.4521292448043823,0.4550478756427765,0.5555555820465088,0.2222222238779068,0.3333333730697632
6,more_active_in_correct,11,5682,0.8326717019081116,0.8326717019081116,0.0,0.2222222238779068,0.0,0.2222222238779068
6,more_active_in_correct,12,6360,0.7860279679298401,0.7860279679298401,0.0,0.3333333432674408,0.0,0.3333333432674408
6,more_active_in_correct,13,14678,0.6541883945465088,0.6541883945465088,0.0,0.2222222238779068,0.0,0.2222222238779068
6,more_active_in_correct,14,7033,0.6108580827713013,0.6108580827713013,0.0,0.2222222238779068,0.0,0.2222222238779068
6,more_active_in_correct,15,11263,0.5951802134513855,0.5951802134513855,0.0,0.2222222238779068,0.0,0.2222222238779068
6,more_active_in_correct,16,13801,0.5799121856689453,0.5799121856689453,0.0,0.2222222238779068,0.0,0.2222222238779068
6,more_active_in_correct,17,9687,0.5704444050788879,1.4156994819641113,0.8452550768852234,0.5555555820465088,0.3333333432674408,0.222222238779068
6,more_active_in_correct,18,2093,0.5173923969268799,0.5173923969268799,0.0,0.1111111119389534,0.0,0.1111111119389534
6,more_active_in_correct,19,13853,0.5172232389450073,1.7097240686416626,1.1925008296966553,0.4444444477558136,0.3333333432674408,0.1111111044883728
6,more_active_in_correct,20,5015,0.497681200504303,0.497681200504303,0.0,0.2222222238779068,0.0,0.2222222238779068
6,more_active_in_correct,21,5269,0.4655150771141052,0.4655150771141052,0.0,0.2222222238779068,0.0,0.2222222238779068
6,more_active_in_correct,22,9840,0.43900084495544434,1.262890100479126,0.8238892555236816,0.4444444477558136,0.3333333432674408,0.1111111044883728
6,more_active_in_correct,23,547,0.3451498746871948,0.719232439994812,0.3740825653076172,0.2222222238779068,0.1111111119389534,0.1111111119389534
6,more_active_in_correct,24,10044,0.34466105699539185,0.34466105699539185,0.0,0.1111111119389534,0.0,0.1111111119389534
6,more_active_in_correct,25,9815,0.3440348505973816,0.3440348505973816,0.0,0.1111111119389534,0.0,0.1111111119389534
6,more_active_in_correct,26,4068,0.3308154046535492,0.3308154046535492,0.0,0.1111111119389534,0.0,0.1111111119389534
